leadership_score,communication_score,decision_making_score,team_management_score,strategic_thinking_score,problem_solving_score,adaptability_score,technical_knowledge_score,performance_score,experience_years,readiness_level
65.36,64.65,67.23,57.57,61.59,56.88,59.15,62.59,72.68,4.3,Low
92.77,95.41,85.78,95.37,94.08,89.78,87.56,97.18,90.72,7.2,High
85.43,84.5,82.18,87.42,80.28,82.37,85.69,83.16,95.56,11.0,High
74.27,71.75,73.59,72.01,74.13,78.42,75.17,75.24,68.78,4.4,Medium
92.91,99.61,92.82,95.41,100.0,98.54,97.54,99.08,92.37,11.1,High
42.94,42.26,51.04,50.24,43.5,47.59,44.47,50.7,45.8,2.6,Low
85.45,89.21,83.23,81.07,90.41,84.55,79.53,79.0,90.98,7.6,High
77.21,84.59,78.98,84.29,82.96,72.77,81.28,80.81,75.18,3.4,Medium
90.98,96.98,96.05,88.7,91.54,87.68,96.49,95.98,83.78,9.3,High
75.26,78.13,75.15,68.8,72.68,69.02,79.94,79.33,70.6,7.6,Medium
76.07,80.87,75.87,84.17,84.23,76.58,80.75,81.64,96.05,14.5,High
53.34,46.99,48.32,56.52,52.38,49.84,50.79,46.03,50.29,3.7,Low
85.44,92.16,87.34,95.45,94.91,85.44,87.45,92.62,85.68,7.2,High
100.0,100.0,93.12,92.0,96.01,95.92,96.44,99.59,91.14,9.7,High
46.8,39.44,38.74,41.84,41.52,39.8,39.46,47.54,55.07,2.7,Low
57.79,59.39,58.87,57.94,49.75,53.59,50.32,52.57,46.26,6.0,Low
82.15,81.77,88.18,88.64,83.36,85.31,78.55,80.25,72.51,7.7,High
74.4,73.42,77.62,69.28,78.92,68.35,69.62,74.53,80.72,3.3,Medium
83.29,83.59,81.19,83.16,82.43,87.37,78.61,84.75,96.24,7.5,High
79.13,70.98,75.6,82.09,82.06,70.98,72.66,73.29,73.1,4.9,Medium
65.99,64.42,63.32,67.83,63.83,56.08,65.79,59.57,54.24,1.8,Low
44.0,40.63,44.62,45.97,39.8,44.97,40.53,43.22,47.89,1.5,Low
36.35,45.56,43.95,39.45,45.2,42.93,41.44,36.42,55.59,2.4,Low
63.59,58.38,58.13,60.3,67.39,66.15,66.93,67.39,58.64,5.2,Low
80.73,83.3,77.7,87.01,86.23,87.56,85.58,86.43,94.48,13.8,High
73.34,72.7,66.18,72.42,64.27,73.44,73.28,65.65,83.82,7.8,Medium
62.69,64.73,66.35,72.78,74.01,65.76,70.11,67.21,81.52,4.4,Medium
77.87,87.27,78.91,77.02,80.94,84.47,79.49,83.0,69.96,8.8,Medium
68.13,79.22,74.57,76.74,77.01,76.16,72.48,68.95,72.33,7.3,Medium
83.25,83.36,84.55,84.48,83.2,81.18,84.7,90.93,95.57,12.2,High
49.39,52.83,54.55,56.35,57.24,54.97,54.69,51.95,52.52,3.7,Low
60.09,61.5,57.92,63.72,62.91,61.97,56.6,56.29,49.24,1.4,Low
87.53,90.11,84.89,90.91,88.48,85.48,90.43,82.62,95.6,5.7,High
48.16,42.88,37.27,39.66,46.84,42.14,46.28,44.68,55.63,1.9,Low
84.58,82.01,85.92,82.53,86.72,84.87,81.65,79.06,83.15,6.7,Medium
75.38,73.01,75.51,75.34,75.92,78.56,73.74,74.86,76.86,6.8,Medium
62.34,59.83,62.39,68.21,64.36,65.7,67.63,66.54,74.93,6.3,Medium
91.77,85.36,89.3,86.89,87.57,82.98,82.96,85.56,94.06,13.5,High
91.83,87.76,93.69,86.55,90.95,93.0,86.55,93.94,88.47,6.7,High
60.98,66.19,61.61,66.08,67.04,60.08,58.04,57.29,74.44,4.3,Medium
50.57,51.8,54.14,45.14,42.99,44.58,44.26,50.78,61.25,4.9,Low
93.88,95.57,87.96,96.42,98.17,87.89,86.9,90.33,94.27,6.7,High
52.2,51.44,45.14,53.19,54.12,51.12,45.37,55.72,62.88,1.4,Low
85.81,91.91,91.58,82.98,93.24,89.34,91.66,90.2,87.93,10.1,High
82.73,82.08,81.5,85.05,79.5,86.5,86.24,77.31,72.59,7.8,High
82.71,92.58,84.55,84.91,91.94,86.45,92.93,90.78,91.77,8.8,High
96.93,100.0,99.35,98.82,96.95,100.0,92.18,93.72,83.37,12.2,High
89.57,93.42,88.44,92.9,87.72,87.48,85.92,86.78,89.57,10.3,High
77.82,80.7,83.73,78.3,75.4,73.21,74.34,74.74,71.15,4.3,Medium
90.25,91.98,85.13,94.04,89.5,94.09,90.5,89.25,86.39,14.7,High
84.79,79.73,75.81,82.48,75.57,76.72,81.68,78.57,97.06,9.8,High
90.47,94.03,93.17,93.07,98.08,99.64,91.42,95.21,91.7,12.9,High
83.82,77.78,77.99,76.8,75.93,81.31,83.03,79.39,71.53,4.3,Medium
81.85,80.22,78.26,78.7,81.97,75.86,77.3,78.53,75.72,7.1,High
44.77,42.62,39.25,37.28,44.05,44.18,47.1,41.79,49.15,2.5,Low
77.72,75.81,86.26,84.75,81.62,86.13,86.71,82.78,88.91,8.2,High
98.61,89.79,94.64,95.23,93.51,88.71,91.79,91.61,89.53,11.5,High
53.59,52.01,48.85,47.7,46.02,46.12,53.89,47.1,62.34,2.4,Low
52.69,54.78,59.52,57.95,59.56,52.88,57.03,61.57,58.56,3.1,Low
61.42,60.45,65.16,65.18,59.67,70.46,69.51,64.09,84.54,6.7,Medium
49.74,56.48,58.22,49.38,53.07,51.06,57.52,52.56,62.92,3.5,Low
52.12,47.0,50.75,44.3,44.49,47.95,52.89,46.78,64.75,3.1,Low
68.71,67.11,65.51,71.62,70.11,66.05,72.55,63.77,77.38,6.3,Medium
82.89,84.81,78.98,73.48,79.07,80.12,83.48,83.53,74.56,7.0,Medium
73.45,67.45,71.23,77.23,69.66,73.91,73.39,75.82,80.28,5.5,Medium
52.61,53.97,43.93,44.32,51.07,54.55,55.47,52.46,52.92,4.6,Low
93.74,96.25,85.96,94.96,88.93,89.91,87.15,91.78,95.96,9.4,High
45.69,41.14,49.2,39.97,43.78,41.3,41.31,38.36,46.97,5.4,Low
55.09,57.99,58.61,56.03,53.94,61.08,53.33,55.56,48.95,3.2,Low
87.84,96.03,92.19,87.59,91.09,92.52,93.23,84.88,91.2,14.9,High
82.27,79.22,82.63,82.44,83.12,83.64,82.9,85.05,72.87,7.8,High
57.11,58.95,51.24,53.7,59.13,52.27,51.74,56.63,52.72,3.2,Low
85.08,80.97,84.86,84.14,79.25,76.57,86.74,76.87,82.12,4.5,Medium
61.76,56.49,61.59,52.27,58.54,57.56,60.18,60.17,69.5,5.8,Medium
57.81,68.12,64.24,68.49,60.16,58.27,67.39,68.42,47.71,2.2,Low
64.85,60.1,69.58,60.56,64.38,66.98,67.85,70.29,84.09,4.8,Medium
65.12,64.14,70.66,59.64,63.69,64.57,70.65,69.51,75.05,3.6,Medium
72.21,69.71,68.9,77.61,72.89,75.39,75.13,74.6,84.62,5.2,Medium
40.91,49.27,42.58,42.68,50.53,44.03,41.86,50.9,48.15,3.8,Low
39.71,45.55,37.93,37.8,47.1,40.47,41.5,39.71,48.25,2.3,Low
76.38,73.21,68.36,73.09,78.39,67.57,76.45,77.45,80.68,5.9,Medium
81.06,84.48,82.13,87.16,77.13,77.21,83.54,77.03,69.03,5.9,Medium
73.88,72.96,74.78,68.71,75.94,77.75,75.33,76.74,73.53,9.0,Medium
87.57,87.12,83.27,87.25,90.11,86.62,83.96,93.2,85.66,8.4,High
46.07,43.01,43.37,43.07,40.29,37.8,40.57,44.31,47.41,4.7,Low
56.25,58.96,54.58,59.91,54.72,53.33,62.17,56.44,69.21,4.0,Low
82.77,80.31,80.66,73.27,84.1,82.91,76.16,75.12,82.37,8.8,High
86.91,84.93,81.82,87.71,80.48,89.07,82.7,85.15,82.1,13.7,High
72.17,71.78,73.04,78.57,79.24,74.42,79.1,76.98,81.21,6.4,Medium
90.99,95.73,93.43,95.59,88.13,92.33,94.78,87.68,83.82,9.3,High
76.56,85.43,78.58,81.03,84.91,82.47,86.47,86.14,86.09,8.3,Medium
45.4,41.97,41.94,43.57,40.07,36.44,35.31,38.95,45.47,5.6,Low
83.61,76.39,80.54,79.76,78.22,77.2,77.55,77.47,83.64,3.5,Medium
62.59,67.12,68.22,68.18,61.23,60.15,60.76,65.62,76.67,8.4,Medium
68.77,68.84,65.11,70.81,66.49,67.34,67.21,70.09,81.14,6.0,Medium
78.53,75.9,81.32,78.95,80.65,75.91,85.21,76.15,89.08,8.0,High
56.03,58.88,60.13,54.77,59.09,57.2,53.23,55.08,57.68,3.3,Low
84.43,81.92,77.93,78.84,81.12,81.14,82.14,77.77,96.39,8.4,High
90.83,89.13,82.15,82.49,89.5,84.77,90.04,89.24,87.41,11.0,High
46.53,53.95,50.72,47.04,49.47,53.59,46.05,46.85,59.57,1.7,Low
58.98,57.07,58.51,55.83,55.09,55.1,52.92,53.32,65.72,4.7,Medium
